v_products_model,v_products_name_1,v_products_price,v_products_speical_price,v_products_quantity,v_categories_name_1
765572,Cavaliers 23 LeBron James Red 2015-2016 Christmas Day Stitched NBA Jersey,26.88,13,5,Black Friday Sale
60409,Cubs 17 Kris Bryant White Home Cool Base Stitched Baseball Jersey,23.88,12,5,Black Friday Sale
16424,NHL Pittsburgh Penguins 87 Sidney Crosby Black Cheap Jerseys,34.88,17,5,Black Friday Sale
61637,Nike 49ers 28 Carlos Hyde Black Alternate Men Stitched NFL Elite Jersey,23.88,12,5,Black Friday Sale
57816,Nike Broncos 18 Peyton Manning Orange Team Color Men Stitched NFL New Elite Jersey,23.88,12,5,Black Friday Sale
56481,Nike Lions 81 Calvin Johnson Blue Team Color With WCF Patch Stitched NFL Elite Jersey,23.88,12,5,Black Friday Sale
9553,North Carolina 23 Michael Jordan Blue NCAA Wholesale Jersey,25.88,12,5,Black Friday Sale
62971,Oilers 97 Connor McDavid Orange Stitched NHL Jersey,34.88,17,5,Black Friday Sale
763597,Royals 13 Salvador Perez Blue Alternate 2 New Cool Base Stitched Baseball Jersey,23.88,12,5,Black Friday Sale
765463,Warriors 30 Stephen Curry Blue 2015-2016 Christmas Day Stitched NBA Jersey,26.88,13,5,Black Friday Sale
